Date	Route	Rating	Notes	URL	Pitches	Location	Avg Stars	Your Stars	Style	Lead Style	Route Type	Your Rating
2017-11-25	Risky Bear	5.6 4c 14 V 12 S 4b		https://www.mountainproject.com/v/risky-bear/108524408	1	New York : Powerlinez : k. Tower Wall area : 5. Three Bears Wall	2.3	-1	Lead	Onsight	Trad, TR	
2017-11-25	Goldilocks	5.6 4c 14 V 12 S 4b PG13		https://www.mountainproject.com/v/goldilocks/108831255	1	New York : Powerlinez : k. Tower Wall area : 5. Three Bears Wall	2.2	-1	Lead	Onsight	Trad, TR	
2017-11-25	Dead Tree Dihedral	5.7 5a 15 V+ 13 MVS 4b		https://www.mountainproject.com/v/dead-tree-dihedral/109455117	1	New York : Powerlinez : k. Tower Wall area : 6. The Tower Wall	3.0	-1	Lead	Onsight	Trad, TR	
2017-11-25	Ogre Arete	5.9 5c 17 VI 17 HVS 5a		https://www.mountainproject.com/v/ogre-arete/108425190	1	New York : Powerlinez : k. Tower Wall area : 6. The Tower Wall	2.8	-1	TR		Trad, TR	
2017-11-25	Oliphant Crack	V2 5+	Boulder problem 	https://www.mountainproject.com/v/oliphant-crack/108393137	1	New York : Powerlinez : * Powerlinez Bouldering : Welcome Boulders : Oliphant Boulder	2.8	-1	Lead	Onsight	Boulder	
2017-11-12	Son of Easy O	5.8 5b 16 VI- 15 HVS 4c		https://www.mountainproject.com/v/son-of-easy-o/105821512	2	New York : The Gunks : The Trapps : c. Frog's Head - the Arch	3.8	-1	Lead	Onsight	Trad	
2017-11-12	Try Again	5.10b/c 6b 20 VII 20 E2 5b		https://www.mountainproject.com/v/try-again/105799088	1	New York : The Gunks : The Trapps : e. The Mac Wall (Something ...	3.0	-1	Follow		Trad	
2017-11-12	Star Action	5.10b 6a+ 19 VII- 19 E2 5b		https://www.mountainproject.com/v/star-action/105803185	2	New York : The Gunks : The Trapps : e. The Mac Wall (Something ...	3.4	-1	Follow		Trad	
2017-10-22	Strictly From Nowhere	5.7 5a 15 V+ 13 MVS 4b	Followed p1 and traversed to shockleys	https://www.mountainproject.com/v/strictly-from-nowhere/105799704	2	New York : The Gunks : The Trapps : d. Strictly - Shockley's	3.3	-1	Follow		Trad	
2017-10-22	Shockley's Ceiling	5.6 4c 14 V 12 S 4b	Traversed over from strictly and led p3	https://www.mountainproject.com/v/shockleys-ceiling/105799687	1	New York : The Gunks : The Trapps : d. Strictly - Shockley's	3.5	-1	Lead	Redpoint	Trad	
2017-10-22	High Exposure	5.6 4c 14 V 12 S 4b	Led p1 and followed p2	https://www.mountainproject.com/v/high-exposure/105798994	2	New York : The Gunks : The Trapps : i. High E	3.8	-1	Lead	Redpoint	Trad	
